,,Weight in oz
Backpack,Hyperlite Windrider Large,30.7
,Shoulder Pocket,1.4
,Bottle Pocket ,1.2
,Nyoflume Pack LIner,0.9
,,
Sleeping,NeoAir XLite Sleeping Pad,13
,Zpacks Solos Quilt 20F,11.8
,Trekology Pillow,6
,,
Tent,Durant Xmid Pro 2+,19.2
,Durant Groundsheet,5.1
,MSR Groundhog Stakes ,5.1
,Extra titanium Sates,2
,,
Cooking/eating,Firemaple Petrel Pot 650ml,5.7
,Firemaple Greenpeak stove,3
,Collapsable mug,
,Titanium spoon,
,Ursack Food bag,8.8
,,
Water,Platypus Filter,2.4
,Platypus 2L bladder,1.3
,2 X 1L Liftewater bottles,
,Steripen,
,,
Electronics,2X 10K Nitecore (5.3 oz each),10.6
,Aurora A5 USB C Keychain light,0.6
,,
Misc,,
,Trowel ,0.6
,Swiss Army Knife,0.74
,Bamboo Toothbrush,0.5
,,
,,
,Weight in oz,130.64
,Weight in lbs,8.165
